-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
1	36	71	83	9	-65	-63	-44	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
-10	26	38	46	-41	33	28	-61	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
21	-5	-27	60	15	9	76	-39	900
0	0	0	0	0	0	0	0	300
-69	0	-60	-29	15	-50	45	-44	900
0	0	0	0	0	0	0	0	300
62	-44	57	-46	78	-27	-55	-45	900
0	0	0	0	0	0	0	0	300
